"","AF_6","AF_8","AF_10","AF_12","AF_14","AF_17","AF_19","AF_21","AF_23","AF_25","GF_7","GF_9","GF_11","GF_13","GF_15","GF_18","GF_20","GF_22","GF_24","GF_26"
"Label","AF","AF","AF","AF","AF","AF","AF","AF","AF","AF","GF","GF","GF","GF","GF","GF","GF","GF","GF","GF"
"8.77_619.2610m/z"," 0.06716067","-0.26602212","-0.64696374"," 0.56867086"," 0.18180057","-0.37955818"," 0.71068734"," 0.81210419","-0.19839665"," 0.60331643"," 0.56317663"," 2.04657032"," 0.58479873"," 0.29982852","-2.11218880"," 0.09731888","-0.92211201"," 0.45341470","-2.44400052","-0.01960580"
"9.11_618.2476m/z"," 0.91103894"," 0.65379892","-1.13436886","-1.70019454"," 0.10290367"," 0.21167705"," 0.27764151"," 0.05428697"," 0.23809138"," 0.05557622","-1.06794066"," 0.36185135"," 1.27371751"," 0.39279999","-0.04935040"," 0.97802151"," 0.43695222","-2.81739505"," 1.08025166","-0.25935939"
"10.61_617.4535n","-0.63033246","-0.98664761","-1.12489515","-0.32938783","-0.08356853"," 0.17151016"," 0.69856717"," 1.56122232"," 1.57090329","-0.31313887","-1.46390220","-0.94279988"," 0.21268920","-0.55392314","-0.09204753"," 0.46069563"," 1.67748591"," 1.07593923"," 0.71604681","-1.62441651"
"12.24_613.5436m/z","-1.28361033","-1.90658829","-1.47195584","-0.04529494","-1.03765478"," 0.15498396","-0.90003115","-0.04694645"," 0.21510379"," 0.55020625","-0.57587346"," 1.14653305"," 0.15326473"," 1.44382784","-0.06915160","-0.70358290"," 0.94449591"," 1.08180764"," 0.85295928"," 1.49750729"
"6.97_608.7275m/z","-1.52491807","-0.97562241","-0.89189736"," 0.93163931"," 1.10842606"," 2.29637536","-0.76721232"," 1.43633966"," 1.00651302"," 0.58454554"," 0.11230186","-1.10991145","-0.12247366","-0.41353589"," 0.28742091"," 0.09381936","-0.39771888","-0.03325053","-1.33775744","-0.28308309"
"9.98_607.5231n"," 2.0763606"," 0.8169902","-0.9150070"," 0.5537300"," 0.4898225","-0.3419215"," 1.0921227"," 1.7259834","-0.4296726"," 0.8663929","-0.9520021","-0.4465547","-1.0842394"," 0.5491028","-0.7338733"," 0.2492302","-0.9928094","-0.3522270","-1.7032813","-0.4681469"
"9.18_604.4815n","-1.58109213","-1.20543165","-1.84597276","-0.40830698","-0.05483505","-1.11036799"," 0.30727341","-0.36364988","-0.54316733"," 0.98914149","-0.79158708"," 0.22573535"," 1.14501395","-0.38559159"," 0.23553920"," 1.21756979"," 0.80872760"," 0.94496999"," 1.75384824"," 0.66218341"
"11.09_602.5118m/z"," 0.6885617"," 0.7991249"," 0.9771178"," 1.0842063"," 0.7888264"," 0.5166545"," 1.2148392"," 0.5908368"," 0.8317984"," 0.6408181"," 0.1838554","-1.8602217"," 0.2250699","-1.8200228"," 0.1274411","-0.8215030","-1.0112823","-1.2280470","-0.9295305","-0.9985431"
"12.40_601.4803m/z"," 2.7560236998","-1.1264699117","-0.3285529869"," 0.0761481329"," 0.2583129697"," 0.1018607866"," 2.2177247022","-0.6693965279","-0.5356930887"," 0.0006648926","-1.3457547380"," 0.5828331904","-0.7670831604","-0.4398736761","-0.1302460534","-0.6670518693"," 0.4867239034"," 0.4034798164","-0.6769121552","-0.1967379265"
"9.59_600.3371n"," 0.26067247"," 0.12733426","-1.81946424"," 1.40788359","-0.12233234","-0.33151271"," 0.21694654","-1.40368348","-0.03633811"," 0.14221334"," 1.72625374"," 1.04519510"," 1.87538080"," 0.35429327"," 0.06513726","-0.42067886","-0.79671009","-0.73425157","-0.01060764","-1.54573133"
"9.93_600.3353n"," 2.0648269"," 0.3120160"," 0.1409627"," 0.2691960"," 0.1154062"," 1.5562093"," 0.3841013"," 1.3230482"," 0.6654223"," 0.4809294"," 0.5582452","-0.9327536","-0.9108025","-1.7162484"," 0.2292488","-0.4709655","-0.9078750","-0.7459014","-1.1312304","-1.2838358"
"6.97_599.2393m/z","-0.96356534","-0.56452580"," 0.07616635"," 0.37097434","-1.41392028"," 2.94633248","-0.47519774"," 0.86091822"," 0.46289264"," 0.86652045"," 0.60771161","-0.62914819"," 0.49815900","-0.89329023","-0.40926361","-1.47307121","-0.21162272","-0.48128470"," 0.75293677"," 0.07227795"
"10.06_598.3187n"," 2.50568858","-0.20029413","-1.44372146","-0.35582971","-1.27712733"," 0.67395191","-0.43278005"," 0.46222521","-0.09625521","-0.36679946"," 1.57260564","-0.05198885"," 0.33696033","-0.96611850"," 0.37719565","-1.32479556","-0.16430629"," 1.37393020"," 0.08363443","-0.70617540"
"12.70_597.4811m/z","-0.1569202","-0.2490600","-0.5444838","-0.8844531","-1.3952612","-1.1170454","-0.8653658","-1.1775671","-0.9664471","-0.8750362"," 1.4694176"," 1.1782522"," 0.6390433","-0.2206844"," 2.1691859"," 1.0214542"," 0.2894581"," 0.5718186"," 0.6584594"," 0.4552349"
"12.68_593.5150m/z","-1.348116814","-2.449048004","-1.094714917","-0.927367316"," 0.511309757"," 0.538366891"," 0.591138910"," 0.098431892"," 0.393851793"," 0.133186838","-1.913845760"," 0.008949551"," 0.571080972"," 0.767823754"," 0.952995893"," 0.694585353"," 0.858044237","-0.017357777"," 0.877533212"," 0.753151536"
"12.67_592.5066n","-0.40704329","-3.43325693","-0.15522633"," 0.06223410"," 0.52030754"," 0.38904998"," 0.71456182","-0.24602015"," 0.20286131"," 0.49014423","-1.85329315"," 0.51544784","-0.12415230"," 0.46718589"," 0.80665982","-0.02427647"," 0.39957041"," 0.68158693"," 0.64044690"," 0.35321183"
"12.06_591.2661m/z","-2.07896111","-0.06529892","-1.52053193"," 0.30336115","-0.54041499"," 0.15489308"," 0.52557917"," 1.42370522"," 1.16480536"," 0.94146764","-1.54471097","-1.43010891","-0.23064007","-0.66965624"," 0.35402004"," 0.40851244"," 0.49130044"," 0.60404684"," 1.09527022"," 0.61336154"
"8.50_587.2675m/z","-1.41721737"," 0.83831925","-0.51027557","-0.14896713","-0.25161223","-0.47328681","-0.78436013","-1.55768964","-1.77747370","-0.46106256"," 1.80388700"," 1.78540869"," 0.23132250"," 0.40019989","-0.41919057"," 0.14994563","-0.08998467"," 0.87896770"," 1.05227705"," 0.75079267"
"11.99_586.4571n"," 0.3174130"," 2.5032423","-0.4125665"," 0.2548935","-0.2282735","-0.4286184","-1.0114603","-0.2241554","-0.5692190","-1.3841798"," 1.1613295","-0.4081234"," 1.0812760"," 0.4269578","-0.1814887","-1.1916381"," 0.9777132"," 1.1870869","-0.4794535","-1.3907356"
"11.11_586.3368n"," 0.99572461"," 0.07983675"," 0.70544644"," 1.34709186"," 0.69191285"," 0.78396082"," 0.27613338"," 0.70033096"," 0.95553517"," 1.39346488"," 0.03287646","-2.46135692"," 0.16353369","-0.64603353","-0.54575793","-1.01594355","-1.13910064","-0.81610747","-1.10478351","-0.39676431"
"8.48_585.3546n","-0.389946652"," 2.246467340"," 0.900452959"," 0.379895635"," 0.170607968","-0.605846715","-1.079745278","-0.977056153","-0.802455625","-0.139263808"," 2.078910857"," 1.730468687","-0.756346246","-0.005075423","-0.610301049","-0.643866244","-0.827381264","-0.437692968","-0.325316012"," 0.093489992"
"9.41_584.2882m/z"," 0.87541359"," 0.55657863"," 0.07312414"," 1.43073898"," 1.00836099"," 0.59210909","-0.26307626"," 0.87858372"," 2.33058004","-0.76992894","-0.73298295","-1.63627726","-0.09688694","-0.34824934"," 0.09269841","-0.88771932"," 0.07178203","-1.34690053","-0.85630538","-0.97164269"
"10.97_583.4239m/z"," 1.0639487"," 1.6573700"," 0.5731343"," 0.8481886"," 0.4998299"," 0.6574477"," 0.7972730"," 0.9966570"," 0.4467710"," 0.5502633"," 0.1672452","-1.9324009"," 0.4254716","-1.2162298","-0.2888366","-0.7704665","-1.0768892","-0.8167143","-1.2828873","-1.2991757"
"9.31_583.2668m/z"," 0.40300927","-0.80253704","-0.02489358"," 1.60216231"," 2.16931832"," 0.27758674"," 1.45699228","-1.16860105","-0.73103515"," 0.74063433","-0.08705549","-1.23871270","-0.37730273","-0.85449449"," 0.31312835","-0.70735675"," 0.92159319","-1.49506523","-0.41680969"," 0.01943910"
"6.19_582.3200m/z","-0.2997208012","-0.5116545850"," 0.2250925062","-0.5548306507","-1.1382688464","-0.5954172267"," 0.6699298766"," 0.4515861263"," 0.2619936385","-0.6601165094","-0.8883019735","-0.5886270317","-0.0009697136"," 0.9287333164","-0.2741686094","-0.8063991312"," 1.4901081685","-1.6348273312"," 1.6803146747"," 2.2455441028"
"9.26_578.8353m/z"," 1.23222149","-0.70806870"," 0.62488641","-2.93836785","-0.41619292"," 0.43829842","-0.93977515"," 0.09604669"," 0.52797089","-1.34370490"," 1.64154724"," 0.40633340","-0.32312872"," 0.00378984","-0.55503182"," 0.32823125"," 0.78723396"," 0.05250361"," 0.64848563"," 0.43672123"
"8.67_577.3649n","-0.32653500"," 1.88016920"," 1.39657117"," 1.20583484"," 0.14012850","-0.39451992","-0.57704240","-0.56980945","-1.01410774","-0.27673610"," 1.35618146"," 1.85497887","-0.53707653"," 0.40144380","-0.05242544","-0.51928153","-1.07397039","-1.17894908","-0.85154547","-0.86330879"
