"","AF_6","AF_8","AF_10","AF_12","AF_14","AF_17","AF_19","AF_21","AF_23","AF_25","GF_7","GF_9","GF_11","GF_13","GF_15","GF_18","GF_20","GF_22","GF_24","GF_26"
"Label","AF","AF","AF","AF","AF","AF","AF","AF","AF","AF","GF","GF","GF","GF","GF","GF","GF","GF","GF","GF"
"9.86_617.3276m/z"," 1.66254038","-0.20481599"," 0.49792168"," 0.86291127"," 0.24892438","-0.17437142"," 1.93065978","-0.31502190"," 0.71080970"," 0.99530295","-0.15917454","-0.27245863"," 0.30570354","-0.27577921"," 0.03743666","-0.51918483","-2.22988362","-0.71209214","-0.51930226","-1.87012578"
"8.65_615.3212m/z"," 0.421127265"," 0.899994498"," 0.070942235","-0.022674585"," 0.182322318","-1.153337255","-0.196056634"," 0.660365208","-0.132015073","-0.076485575"," 0.374910581","-1.658952294"," 1.143147157"," 0.945204359","-0.224553004"," 1.703018549","-1.033621650"," 0.666922578","-0.003325877","-2.566932803"
"9.62_608.4756n"," 0.17654598"," 1.52631472","-0.02525048"," 0.90383618"," 1.41749503"," 0.55638183","-0.02692328"," 1.50695800","-0.10301346"," 0.70187564","-0.18065510","-1.42080096"," 0.17453803","-0.06467211"," 0.13229043","-1.48260102"," 0.24395788","-0.92903047","-0.97214797","-2.13509887"
"10.52_603.3654m/z"," 2.16157855","-0.69608303"," 1.53552144","-0.33931512"," 0.45381837","-1.52455620"," 0.76980095"," 0.59940457","-0.01590715","-0.78253356","-0.17753969"," 0.12569383"," 0.51540851","-1.36761051"," 0.35418325","-0.51875845"," 0.56052114"," 0.34023577"," 0.07073048","-2.06459316"
"11.08_602.5082m/z"," 0.54010532"," 0.95840623"," 1.29986797"," 0.72344932","-0.54629912","-0.08532548","-0.89535218","-0.92258252"," 0.49496528","-0.53476210"," 1.39980851"," 0.83138187","-0.25153682"," 0.61331699","-1.15686709"," 0.71088530"," 0.58712737","-0.48380499","-0.59585342","-2.68693042"
"9.91_600.3354n"," 1.54059985"," 0.17612040"," 0.95426268"," 0.78367412"," 0.38692729"," 1.06280842"," 1.92379885"," 0.87321946","-0.30676917"," 0.54338648","-0.96960591","-1.00927548","-0.97956654","-0.99126714"," 0.18208747"," 0.08527446","-0.87143193","-1.60794998","-0.69483433","-1.08145899"
"11.15_597.4834m/z","-0.8620540","-0.7597395","-1.3089766","-0.9400892","-0.8291062","-0.5431105","-0.8319108","-0.7292606","-0.7981585","-0.3422879"," 0.9375887","-1.1223700"," 1.2619172"," 1.0135950"," 0.2006077"," 0.4663162"," 0.9117369"," 1.4173453"," 1.7302997"," 1.1276573"
"10.35_596.5379n"," 0.09320262","-0.14732256"," 0.62955672","-0.56071189","-0.51034210","-0.13387228","-0.95562596","-0.93489782","-1.12748277","-0.99214278"," 1.62676387"," 1.36002577"," 1.40537623"," 0.86676409"," 0.78821722"," 0.86490494"," 1.07290543","-1.22070725","-0.58917777","-1.53543371"
"9.47_594.4216m/z","-0.269539279"," 1.419626615","-1.070785742"," 1.161888466"," 0.748880718"," 0.055330450"," 0.051728001"," 0.587328988"," 0.837717605"," 1.180509369","-0.229226623","-0.473657781","-0.006173005","-0.198370728"," 1.029197213","-1.390304156"," 0.407269697","-0.278408647","-0.912836630","-2.650174529"
"10.91_594.4136n"," 0.79572128"," 0.62941392"," 1.02882520"," 0.68010662"," 0.81749294"," 0.05017918"," 1.47064456"," 0.41634703","-0.43499592"," 0.62541425"," 0.04752892","-0.37793315","-0.55377377","-1.47242037"," 0.44692354"," 0.65557641","-0.35570818","-0.57767645","-2.83472300","-1.05694301"
"9.19_591.2953m/z"," 0.083737410","-0.078688668","-0.560511633"," 1.755229711"," 0.844610186"," 1.143364371"," 1.152621668"," 0.187121968"," 0.442719349","-0.638339454"," 0.456034078","-1.817109857","-0.810741176","-1.052758748","-0.000311137"," 1.241768389"," 0.550969143","-0.994792820","-1.868737144","-0.036185636"
"9.32_590.3472m/z","-0.5155680","-0.6454623","-1.3531771","-0.7341767","-0.9097580","-0.3153405","-0.9057720","-1.4185692","-1.2676499","-0.3512795"," 0.7318871","-0.5529071"," 0.5885952"," 0.8661847"," 0.9560978"," 0.8494969"," 1.0659909"," 0.7529711"," 1.2691753"," 1.8892614"
"11.97_587.4648m/z"," 1.29172434"," 0.88029212"," 1.73505772"," 1.78976398"," 1.10250926"," 0.89037288"," 0.15695433","-0.76891330","-0.70430488","-0.45590377","-0.09921208","-0.38061818","-0.24942681","-0.57830299","-0.51839538","-1.44960329","-0.79131282","-0.12165346"," 0.12483404","-1.85386171"
"11.10_586.3379n"," 0.46023380"," 0.74257763"," 1.59789646"," 0.82714730"," 0.91521423"," 0.98720588"," 0.18367246","-0.05809649"," 1.22406020"," 0.18358240","-1.16015547"," 1.22812847","-0.68681554","-0.98064334","-0.14940146","-0.05741978","-1.09728614","-0.91608802","-1.60927300","-1.63453958"
